step,wall_time,loss,psnr_stretched,psnr_raw,gnorm_avg,gnorm_max,clip_norm,duration_s,psnr_stretched_hst,psnr_raw_hst,roundtrip_val_loss,save_best_score
94000,1779944953.1009674,0.005182450171560049,60.66233444213867,107.37590026855469,0.22024093568325043,23.777976989746094,5.0,220.88203811796848,52.184898376464844,97.50685119628906,0.005772094242274761,86.69706268794835
95000,1779945035.9409664,0.004187204409390688,61.204898834228516,107.51403045654297,0.243300661444664,0.9774273633956909,5.0,82.13262147293426,53.229923248291016,99.10674285888672,0.00344531680457294,87.7854072903283
96000,1779945106.3595376,0.003601521486416459,57.924034118652344,105.57937622070312,0.3690461218357086,10.313009262084961,5.0,69.79868432600051,49.144371032714844,95.50633239746094,0.005434938706457615,82.44187024794519
97000,1779945176.4694219,0.0038326524663716555,61.055503845214844,107.39665222167969,0.3658643662929535,1.3242676258087158,5.0,70.08279891707934,53.33395767211914,99.69430541992188,0.002496355213224888,87.69751912914217
98000,1779945246.1403272,0.0035270387306809425,61.276611328125,107.40663146972656,0.4196542799472809,1.1995385885238647,5.0,69.65295772801619,53.15660858154297,98.75135803222656,0.0008276724256575108,87.84663889463991
99000,1779945316.4135625,0.003526286920532584,61.32560729980469,107.66790008544922,0.37354111671447754,1.2973254919052124,5.0,69.59574618004262,53.92898178100586,101.18640899658203,0.0012695702025666833,88.27740248828195
100000,1779945386.394428,0.003375862492248416,62.184024810791016,108.37708282470703,0.44573697447776794,1.310904860496521,5.0,69.3405187849421,53.787166595458984,100.13887786865234,0.000972433655988425,89.06788377196062
101000,1779945456.8198211,0.0036664572544395924,59.76055908203125,106.45374298095703,0.41048958897590637,3.1870999336242676,5.0,69.34833535191137,51.285888671875,96.61759185791016,0.0018405035370960832,85.38509838259779
102000,1779945526.856084,0.0036014823708683252,61.91695785522461,107.95191192626953,0.4316531717777252,1.3884179592132568,5.0,70.01730838906951,54.13405990600586,99.64359283447266,0.0015512899262830615,88.96847490896471
103000,1779945596.894724,0.0034257066436111927,62.29237365722656,108.83409881591797,0.4740082919597626,1.4105433225631714,5.0,70.01459153008182,53.259586334228516,96.75749969482422,0.0012579822214320302,88.9095870021265
104000,1779945666.148397,0.0032647596672177315,62.34657669067383,107.96170806884766,0.459825724363327,1.4662601947784424,5.0,69.23283058905508,54.08488464355469,101.02635955810547,0.0009833320509642363,89.37918569194153
105000,1779945736.756845,0.0033493407536298037,62.797786712646484,109.00991821289062,0.4872463345527649,1.4674632549285889,5.0,70.00471106893383,54.0836181640625,97.904052734375,0.0008954826625995338,89.83064096805174
106000,1779945807.7706826,0.0034887222573161125,57.97184371948242,105.66983032226562,0.48957180976867676,2.744650363922119,5.0,70.36740568699315,49.946834564208984,95.85747528076172,0.0032181020360440016,82.91307998122647
107000,1779945877.7380571,0.00396393146365881,61.21340560913086,107.38574981689453,0.3614161014556885,1.3402888774871826,5.0,69.9471210599877,52.574684143066406,97.97496795654297,0.001286814222112298,87.48787953844294
